year,Austria,Bulgaria,Cyprus,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Croatia,Ireland,Italy,Latvia,Lithuania,Malta,Netherlands,Norway,Czech Republic,Poland,Portugal,Romania,Slovenia,Slovakia,Spain,Sweden,Switzerland,United Kingdom,Belgium,Luxembourg
1988-01-01,3.450384997,2.415942213,0.737379665,4.819091955,,13.75008018,2.925428633,1.610139108,1.843689655,2.676595852,,4.243789858,1.094809724,,,0.680904228,0.953716815,9.067802033,,2.064127212,1.329862882,2.362056598,,,1.627605239,11.30269264,1.340572837,1.295236294,0.918557634,1.921111453
1989-01-01,3.365453441,2.644903437,0.701005981,5.031130876,,13.99980467,2.915201349,1.596726193,1.869730713,2.65368862,,4.178843163,1.105165314,,,0.683637585,0.968028871,9.070365544,,2.158475111,1.446661168,2.327571572,,,1.538163991,11.37913946,1.353447159,1.317393909,0.921408986,1.86554588
1990-01-01,3.398219237,2.465556635,0.619844517,5.161509616,,14.07556189,2.89175533,1.603262601,1.587594613,2.399099139,,4.186787949,1.047477019,,,0.685861382,0.985254617,9.127905552,,2.158072649,1.400960889,2.167668172,,,1.586381947,11.40301906,1.363729123,1.321469558,0.885419731,1.785507716
1991-01-01,3.376787529,2.536619205,0.467188361,5.08085165,,13.81789603,2.973115409,1.636121545,1.830793011,2.689504605,,4.206419522,1.15225733,,,0.674756863,0.956817125,9.058493879,,2.119481244,1.462470855,2.204321328,,,1.502180731,11.10625953,1.353624535,1.33521834,0.904399346,1.824760795
1992-01-01,3.275384177,2.308428613,0.691273894,4.357446708,8.006639994,13.70565949,2.924477836,1.555872237,1.761446657,2.057327259,2.443651598,4.241305891,1.120865929,5.609180979,2.870369065,0.678438258,0.976285278,8.943448449,,1.81512279,1.369653461,1.92815939,2.279424127,,1.415631277,10.90820912,1.348966482,1.338682752,0.921513365,1.805673079
1993-01-01,3.221809498,2.175004059,0.719921228,4.664363713,8.339416844,13.84606563,2.782019672,1.557869459,1.705587245,1.88430858,2.568836443,4.077210934,1.112598279,5.723031615,3.070143384,0.671502427,0.963725449,9.010964118,2.409417037,1.948181786,1.386086221,2.133228092,2.306995407,2.80438129,1.481052019,11.07873259,1.337342731,1.256113251,0.934623343,1.809835255
1994-01-01,3.282253312,2.375717186,0.592929019,4.616232788,8.304175143,13.87485731,2.807543268,1.595761511,1.814867117,2.240932841,2.535406725,4.103966568,1.109133622,5.677454326,2.918028739,0.677521372,0.95144021,8.89407794,2.495607993,1.868256598,1.393911032,2.226469502,2.383934786,2.988246534,1.391865324,10.89611856,1.315956067,1.279412507,0.936670623,1.805719752
1995-01-01,3.232662142,2.429966894,0.613615529,4.810637492,8.432457227,13.78982407,2.78386544,1.622246395,1.840434234,2.206056058,2.613069974,4.114104763,1.125646568,5.634124289,2.907251852,0.673115422,0.952072936,8.867044984,2.488136521,2.011576935,1.379147726,2.340656612,2.372016755,2.916633159,1.18781983,10.8452517,1.312085842,1.285476332,0.915892349,1.769285387
1996-01-01,3.167051879,1.935866424,0.565614734,4.760571637,8.628213567,13.86727057,2.945035212,1.632730416,1.6816958,2.174230204,2.598904944,4.203124598,1.082747418,5.840703915,3.210170276,0.667583149,0.96784202,8.854094065,2.473962695,1.958880508,1.382372528,2.066102928,2.359128022,2.868234433,1.635068078,10.9998165,1.342953683,1.358289609,0.978330109,1.839574364
1997-01-01,3.242003812,2.304605144,0.372590085,4.791711359,8.682181406,13.85278922,2.919872408,1.681358205,1.655605249,2.364707932,2.695626433,4.074931254,1.080044995,5.925551082,3.340350771,0.670530014,0.936703097,8.775028072,2.475727561,1.914262978,1.350258127,2.405985296,2.370804279,2.920900934,1.585878253,10.96766477,1.297711957,1.324268035,0.949366249,1.789163811
1998-01-01,3.24627399,2.266987132,0.427472991,4.830137689,8.635808318,13.57660032,3.070179278,1.723657686,1.720953636,2.345255251,2.814846297,4.047100566,1.109539242,5.94450726,3.308089361,0.672706815,0.895686814,8.764502384,2.515133059,2.05215294,1.304853725,2.190229828,2.396569489,2.89303116,1.638213623,10.93144766,1.325727258,1.328724881,0.962282628,1.786621417
1999-01-01,3.259939495,2.259493282,0.517168809,4.662469664,8.516785257,13.61796807,2.999832329,1.741635596,1.743626935,2.151104109,2.747220138,4.045540662,1.147484314,5.92155093,3.090567981,0.666274182,0.951516759,8.671570202,2.612469203,1.981957506,1.376343033,2.271002859,2.34577298,2.767657484,1.46328912,10.83213019,1.257653517,1.327085856,0.973837624,1.747896837
2000-01-01,3.146913283,2.136797697,0.393528974,4.745453261,8.838155522,13.93926858,2.953161037,1.73926745,1.733484066,1.987775185,2.660973883,4.031796532,1.093001312,6.040013079,3.313131607,0.660905809,0.954882421,8.657721052,2.519539885,1.869753831,1.328950738,1.978977481,2.366881147,2.58955061,1.690250592,10.90168287,1.297379105,1.33031496,0.978196339,1.758805944
2001-01-01,3.219922252,2.43511637,0.478151808,4.702825531,8.754054441,13.79281575,2.790357324,1.813401284,1.719596035,2.521404605,2.768537982,3.976888651,1.072759797,6.115905489,3.185576949,0.652113703,0.929714659,8.591133205,2.656216128,1.996758185,1.299253016,2.408556767,2.354318629,2.853434432,1.534520242,10.84011603,1.253495893,1.211909616,0.926970498,1.707553315
2002-01-01,3.169309015,2.590825878,0.511790898,4.541389537,8.784227697,13.84440184,2.986636487,1.689909533,1.718066195,2.209337489,2.853485901,3.841555082,1.07436329,6.264512138,3.323309931,0.6498793,0.921035397,8.52345515,2.5124599,1.962027073,1.319052985,2.170044838,2.41584231,2.8403639,1.538192537,10.83882517,1.262518538,1.315807841,0.974144132,1.80096365
2003-01-01,3.075848533,2.204865417,0.51268936,4.686090707,8.819503582,13.72635835,2.709953529,1.632386956,1.524347993,1.979914361,2.583683219,3.853222136,0.988266989,6.275172077,3.399765728,0.639113989,0.915246721,8.498316648,2.371411313,1.853662574,1.266471662,2.15191485,2.295405887,2.681317765,1.596828012,10.76052049,1.205825094,1.29610295,0.955325199,1.773788465
2004-01-01,3.19807866,2.806846916,0.451960722,4.529733861,8.905046379,13.53236897,2.920057951,1.801432412,1.586156905,2.810620286,2.783816434,3.854532465,1.117771268,6.407542429,3.458569739,0.645805672,0.923662695,8.456617713,2.763609893,2.03152851,1.297599834,2.685232067,2.374933613,2.961285347,1.571722657,10.69384181,1.233430556,1.255796257,0.993505907,1.778029251
2005-01-01,3.101658611,2.484159539,0.372465509,4.574246169,9.110103019,13.6156803,2.810656059,1.724871007,1.652623719,2.619567863,2.758763728,3.608380265,1.070105637,6.656543009,3.496688176,0.637541384,0.895482877,8.330049302,2.604629537,1.941205864,1.217687816,2.462870217,2.358751431,2.875883286,1.204376965,10.55324104,1.206915282,1.244965898,0.948974071,1.695063265
2006-01-01,3.058607406,2.534888721,0.356343014,4.400634839,9.010195141,13.5085259,2.729377147,1.689113428,1.494547437,2.50048245,2.827552068,3.5530258,1.015043613,6.617630519,3.117779727,0.636062078,0.878594422,8.220334686,2.45435607,1.794443254,1.274718966,2.353499768,2.321713378,2.773311689,1.375332417,10.34961556,1.188791782,1.217117066,0.926107419,1.674457139
2007-01-01,3.059730891,2.198539597,0.335030097,4.391965519,9.350229618,13.55792773,2.677598906,1.664524977,1.477331099,2.180553386,2.740853821,3.472362586,1.009891178,6.983786507,3.703652301,0.625379626,0.870737319,8.149271545,2.55482699,2.011540509,1.223624849,1.912871013,2.323192734,2.742410672,1.524926851,10.39879645,1.190290383,1.177429667,0.933294457,1.619489536
2008-01-01,3.141958678,2.856082179,0.252117649,4.434618125,9.247507765,13.43668903,2.78596689,1.748526496,1.516976393,2.797627145,3.005884494,3.461109604,1.021170042,7.091772872,3.827380219,0.637259037,0.893305355,8.097107421,2.613779695,1.954348608,1.255643594,2.430026197,2.325839415,2.978467868,1.437509234,10.25702797,1.159810221,1.249150591,0.928618756,1.659820588
2009-01-01,3.048646422,2.770416758,0.296076311,4.654656869,9.317904452,13.38255392,2.822347214,1.77569889,1.506481619,2.443146143,2.96554821,3.32222477,0.959578752,7.175544527,4.068911119,0.624949616,0.908718502,7.910070165,2.54668482,2.041332122,1.239313056,2.322019293,2.285219504,2.811027414,1.320448865,10.16680299,1.152973555,1.189604945,0.96500986,1.624640211
2010-01-01,3.005224684,3.036082907,0.317047592,4.402261138,9.194496668,13.05876028,2.77327245,1.704741904,1.469889465,2.23879247,2.854405622,3.387963338,0.960272594,7.184419467,3.790375149,0.622315573,0.890324296,7.854990948,2.441656086,1.98800844,1.227018042,2.483247153,2.30349708,2.620280747,1.378472574,9.973156843,1.126085446,1.19181027,0.955351867,1.534753413
2011-01-01,3.066662898,2.959871369,0.317230031,4.23083883,9.252034604,13.08690304,2.654821794,1.600632444,1.446285718,2.381729664,2.850664397,3.442107368,0.956884594,7.220645295,3.994987097,0.616438671,0.861264085,7.662680464,2.543273931,1.915478037,1.217952272,2.681182713,2.294365286,2.817751054,1.406266471,9.896775911,1.129523019,1.170661014,0.914263523,1.434081155
2012-01-01,2.896013491,2.8697742,0.325138183,4.339683402,9.453142346,12.96706279,2.711619016,1.661753462,1.5458547,2.178939382,2.842125447,3.313234977,0.944539285,7.745641061,4.646998954,0.605193709,0.856050224,7.563170836,2.346147422,1.958315587,1.216505047,2.293749015,2.271191209,2.641907338,1.169093871,9.850132507,1.095540933,1.092470611,0.900607177,1.402536564
2013-01-01,2.861178584,3.215418819,0.274789041,4.261226201,9.465859928,12.98143152,2.619020405,1.688121838,1.369562089,2.424600995,3.060093757,3.380374056,0.930459399,7.716841553,4.534840142,0.605767861,0.856334917,7.439618422,2.508317512,1.942916136,1.252510013,2.723838128,2.200648613,2.735638937,1.506264558,9.747945568,1.058173919,1.087688575,0.905390614,1.410811591
2014-01-01,2.961299866,3.303250263,0.244042455,4.369073034,9.675013922,12.89301884,2.700523858,1.756875301,1.519601725,2.684294038,2.987026194,3.419455983,0.932199574,7.875882186,4.879503706,0.607513948,0.860316495,7.418493302,2.658368397,2.072696332,1.253744089,2.821499405,2.264713207,2.964328684,1.313388803,9.742974826,1.081466182,1.182017496,0.932161882,1.369609015
2015-01-01,2.83651945,3.127609235,0.312341818,4.443469085,10.06299396,12.7060752,2.719357122,1.679493883,1.430483804,2.537487934,3.013220815,3.462581309,0.943176315,8.566482935,5.486382338,0.604136852,0.853279926,7.354864665,2.564365612,1.952897589,1.284885387,2.715829687,2.243775817,2.804706845,1.324162622,9.723086238,1.048877672,1.176142767,0.918195699,1.35211397
2016-01-01,2.913571168,3.26570969,0.27455625,4.172671755,9.522038048,12.62966366,2.377594825,1.617941392,1.557888094,2.466879738,3.18354157,3.373138994,0.941415203,8.494629733,5.189695747,0.598082175,0.823618111,7.27104644,2.600177566,1.991157512,1.262949614,2.871524336,2.240118547,2.998662563,1.374229347,9.550181808,1.00434539,1.089072976,0.785182063,1.237705805
